name_x,abv,ibu,style,ounces,name_y,city,state
Colorado Native (2011),0.055,26,American Amber / Red Lager,12,AC Golden Brewing Company,Golden, CO
Jockamo IPA,0.065,52,American IPA,12,Abita Brewing Company,Abita Springs, LA
Purple Haze,0.042,13,Fruit / Vegetable Beer,12,Abita Brewing Company,Abita Springs, LA
Abita Amber,0.045,17,American Amber / Red Lager,12,Abita Brewing Company,Abita Springs, LA
Citra Ass Down,0.082,68,American IPA,16,Against The Grain Brewery,Louisville, KY
The Brown Note,0.05,20,American Brown Ale,16,Against The Grain Brewery,Louisville, KY
London Balling,0.125,80,English Barleywine,16,Against the Grain Brewery,Louisville, KY
35 K,0.077,25,Milk / Sweet Stout,16,Against the Grain Brewery,Louisville, KY
A Beer,0.042,42,American Pale Ale (APA),16,Against the Grain Brewery,Louisville, KY
Rules are Rules,0.05,25,German Pilsener,16,Against the Grain Brewery,Louisville, KY
Flesh Gourd'n,0.066,21,Pumpkin Ale,16,Against the Grain Brewery,Louisville, KY
Sho'nuff,0.04,13,Belgian Pale Ale,16,Against the Grain Brewery,Louisville, KY
Bloody Show,0.055,17,American Pilsner,16,Against the Grain Brewery,Louisville, KY
Rico Sauvin,0.076,68,American Double / Imperial IPA,16,Against the Grain Brewery,Louisville, KY
Coq de la Marche,0.051,38,Saison / Farmhouse Ale,16,Against the Grain Brewery,Louisville, KY
Pile of Face,0.06,65,American IPA,16,Against the Grain Brewery,Louisville, KY
Maylani's Coconut Stout,0.053,35,American Stout,16,Airways Brewing Company,Kent, WA
Oatmeal PSA,0.05,35,American Pale Ale (APA),16,Airways Brewing Company,Kent, WA
Pre Flight Pilsner,0.052,33,American Pilsner,16,Airways Brewing Company,Kent, WA
P-Town Pilsner,0.04,20,American Pilsner,12,Alameda Brewing,Portland, OR
Klickitat Pale Ale,0.053,36,American Pale Ale (APA),12,Alameda Brewing,Portland, OR
Yellow Wolf Imperial IPA,0.082,103,American Double / Imperial IPA,12,Alameda Brewing,Portland, OR
Freeride APA,0.053,40,American Pale Ale (APA),12,Alaskan Brewing Company,Juneau, AK
Alaskan Amber,0.053,18,Altbier,12,Alaskan Brewing Company,Juneau, AK
Desolation IPA,0.062,43,American IPA,16,Amnesia Brewing Company,Washougal, WA
Barney Flats Oatmeal Stout,0.057,13,Oatmeal Stout,12,Anderson Valley Brewing Company,Boonville, CA
Summer Solstice,0.056,4,Cream Ale,12,Anderson Valley Brewing Company,Boonville, CA
Hop Ottin' IPA,0.07,80,American IPA,12,Anderson Valley Brewing Company,Boonville, CA
Boont Amber Ale,0.058,15,American Amber / Red Ale,12,Anderson Valley Brewing Company,Boonville, CA
El Steinber Dark Lager,0.055,25,Vienna Lager,16,Anderson Valley Brewing Company,Boonville, CA
Boont Amber Ale (2010),0.058,15,American Amber / Red Ale,12,Anderson Valley Brewing Company,Boonville, CA
Summer Solstice Cerveza Crema (2009),0.056,4,Cream Ale,12,Anderson Valley Brewing Company,Boonville, CA
Barney Flats Oatmeal Stout (2012),0.057,13,Oatmeal Stout,12,Anderson Valley Brewing Company,Boonville, CA
Winter Solstice,0.069,6,Winter Warmer,12,Anderson Valley Brewing Company,Boonville, CA
Hop Ottin' IPA (2011),0.07,80,American IPA,12,Anderson Valley Brewing Company,Boonville, CA
Boont Amber Ale (2011),0.058,15,American Amber / Red Ale,12,Anderson Valley Brewing Company,Boonville, CA
Summer Solstice (2011),0.056,4,Cream Ale,12,Anderson Valley Brewing Company,Boonville, CA
Poleeko Gold Pale Ale (2009),0.055,28,American Pale Ale (APA),12,Anderson Valley Brewing Company,Boonville, CA
Long Leaf,0.071,75,American IPA,16,Appalachian Mountain Brewery,Boone, NC
Honey Badger Blonde,0.047,19,American Blonde Ale,16,Appalachian Mountain Brewery,Boone, NC
Porter (a/k/a Black Gold Porter),0.06,23,American Porter,16,Appalachian Mountain Brewery,Boone, NC
Sky High Rye,0.06,55,American Pale Ale (APA),12,Arcadia Brewing Company,Battle Creek, MI
Whitsun,0.062,17,American Pale Wheat Ale,12,Arcadia Brewing Company,Battle Creek, MI
Quakertown Stout,0.092,50,American Double / Imperial Stout,12,Armadillo Ale Works,Denton, TX
Greenbelt Farmhouse Ale,0.051,20,Saison / Farmhouse Ale,12,Armadillo Ale Works,Denton, TX
Mo's Gose,0.052,10,Gose,16,Armstrong Brewing Company,South San Francisco, CA
Green Bullet Organic India Pale Ale,0.07,45,American IPA,16,Asher Brewing Company,Boulder, CO
Rocket Girl,0.032,27,Kölsch,12,Asheville Brewing Company,Asheville, NC
Ninja Porter,0.053,26,American Porter,12,Asheville Brewing Company,Asheville, NC
Shiva IPA,0.06,69,American IPA,12,Asheville Brewing Company,Asheville, NC
This Season's Blonde,0.056,27,American Blonde Ale,12,Aspen Brewing Company,Aspen, CO
Independence Pass Ale,0.07,67,American IPA,12,Aspen Brewing Company,Aspen, CO
Trolley Stop Stout,0.057,40,American Stout,12,Astoria Brewing Company,Astoria, OR
Bitter Bitch Imperial IPA,0.082,138,American Double / Imperial IPA,12,Astoria Brewing Company,Astoria, OR
Poop Deck Porter,0.062,35,American Porter,12,Astoria Brewing Company,Astoria, OR
Old Red Beard Amber Ale,0.06,35,American Amber / Red Ale,12,Astoria Brewing Company,Astoria, OR
Hop A-Peel,0.075,115,American Double / Imperial IPA,16,Atwater Brewery,Detroit, MI
Vanilla Java Porter,0.055,12,American Porter,16,Atwater Brewery,Detroit, MI
Dirty Blonde Ale,0.045,8,American Blonde Ale,12,Atwater Brewery,Detroit, MI
Grand Circus IPA,0.05,62,American IPA,12,Atwater Brewery,Detroit, MI
Atwater's Lager,0.05,12,Munich Helles Lager,12,Atwater Brewery,Detroit, MI
Avery Joe’s Premium American Pilsner,0.047,42,German Pilsener,12,Avery Brewing Company,Boulder, CO
White Rascal,0.056,10,Witbier,12,Avery Brewing Company,Boulder, CO
Avery India Pale Ale,0.063,69,American IPA,12,Avery Brewing Company,Boulder, CO
Ellie’s Brown Ale,0.055,17,American Brown Ale,12,Avery Brewing Company,Boulder, CO
Pumpkin Beast,0.062,17,Pumpkin Ale,12,Aviator Brewing Company,Fuquay-Varina, NC
OktoberBeast,0.072,22,Märzen / Oktoberfest,12,Aviator Brewing Company,Fuquay-Varina, NC
Mad Beach,0.048,23,American Pale Wheat Ale,12,Aviator Brewing Company,Fuquay-Varina, NC
Devils Tramping Ground Tripel,0.092,5,Tripel,12,Aviator Brewing Company,Fuquay-Varina, NC
Hot Rod Red,0.061,41,American Amber / Red Ale,12,Aviator Brewing Company,Fuquay-Varina, NC
Naked Pig Pale Ale,0.06,43,American Pale Ale (APA),12,Back Forty Beer Company,Gadsden, AL
Topcutter India Pale Ale,0.068,70,American IPA,12,Bale Breaker Brewing Company,Yakima, WA
Field 41 Pale Ale,0.044,38,American Pale Ale (APA),12,Bale Breaker Brewing Company,Yakima, WA
Even Keel,0.038,40,American IPA,12,Ballast Point Brewing Company,San Diego, CA
Ballast Point Pale Ale,0.052,23,Kölsch,12,Ballast Point Brewing Company,San Diego, CA
Big Eye India Pale Ale,0.07,75,American IPA,12,Ballast Point Brewing Company,San Diego, CA
Sculpin IPA,0.07,70,American IPA,12,Ballast Point Brewing Company,San Diego, CA
Banner American Rye,0.045,20,Rye Beer,12,Banner Beer Company,Williamsburg, MA
Banner American Ale,0.035,45,American Amber / Red Ale,12,Banner Beer Company,Williamsburg, MA
Thai.p.a,0.07,46,American IPA,16,Bare Hands Brewery,Granger, IN
Barrio Blanco,0.06,60,American IPA,12,Barrio Brewing Company,Tucson, AZ
Hop in the ‘Pool Helles,0.049,22,American Pilsner,12,Base Camp Brewing Co.,Portland, OR
Ultra Gnar Gnar IPA,0.067,60,American IPA,12,Base Camp Brewing Co.,Portland, OR
In-Tents India Pale Lager,0.068,62,American Pale Lager,12,Base Camp Brewing Co.,Portland, OR
Lost Meridian Wit,0.05,20,Witbier,12,Base Camp Brewing Co.,Portland, OR
Celestial Meridian Cascadian Dark Lager,0.051,45,Euro Dark Lager,12,Base Camp Brewing Co.,Portland, OR
Wagon Party,0.054,55,California Common / Steam Beer,12,Bauhaus Brew Labs,Minneapolis, MN
Sky-Five,0.067,70,American IPA,12,Bauhaus Brew Labs,Minneapolis, MN
Stargrazer,0.05,28,Schwarzbier,12,Bauhaus Brew Labs,Minneapolis, MN
Wonderstuff,0.054,48,German Pilsener,12,Bauhaus Brew Labs,Minneapolis, MN
On the Count of 3 (2015),0.07,42,Hefeweizen,16,Baxter Brewing Company,Lewiston, ME
Amber Road,0.055,35,American Amber / Red Ale,12,Baxter Brewing Company,Lewiston, ME
Pamola Xtra Pale Ale,0.049,28,American Pale Ale (APA),12,Baxter Brewing Company,Lewiston, ME
Stowaway IPA,0.069,69,American IPA,12,Baxter Brewing Company,Lewiston, ME
Hoptopus Double IPA,0.088,108,American Double / Imperial IPA,16,Beach Brewing Company,Virginia Beach, VA
Watermelon Ale,0.05,10,Fruit / Vegetable Beer,12,Beer Works Brewery,Lowell, MA
Fenway American Pale Ale,0.058,45,American Pale Ale (APA),12,Beer Works Brewery,Lowell, MA
Back Bay IPA,0.068,85,American IPA,12,Beer Works Brewery,Lowell, MA
Bunker Hill Blueberry Ale ,0.048,16,Other,12,Beer Works Brewery,Lowell, MA
Moar,0.044,44,English India Pale Ale (IPA),12,Bent Brewstillery,Roseville, MN
Nordic Blonde,0.057,27,American Blonde Ale,12,Bent Brewstillery,Roseville, MN
Harness the Winter,0.072,87,American IPA,12,Bent Paddle Brewing Company,Duluth, MN
14° ESB ,0.056,32,Extra Special / Strong Bitter (ESB),12,Bent Paddle Brewing Company,Duluth, MN
Bent Hop Golden IPA,0.062,68,American IPA,12,Bent Paddle Brewing Company,Duluth, MN
Bent Paddle Black Ale,0.06,34,American Black Ale,12,Bent Paddle Brewing Company,Duluth, MN
Venture Pils,0.05,38,German Pilsener,12,Bent Paddle Brewing Company,Duluth, MN
Lost Sailor IPA,0.055,40,English India Pale Ale (IPA),12,Berkshire Brewing Company,South Deerfield, MA
Steel Rail Extra Pale Ale,0.053,20,American Pale Ale (APA),12,Berkshire Brewing Company,South Deerfield, MA
Aprè Shred,0.081,17,American Strong Ale,16,Big Choice Brewing,Broomfield, CO
Hemlock Double IPA,0.095,104,American Double / Imperial IPA,12,Big Choice Brewing,Broomfield, CO
Disconnected Red,0.067,85,American Amber / Red Ale,16,Big Choice Brewing,Broomfield, CO
Dark Star,0.08,54,American Stout,16,Big Lake Brewing,Holland, MI
Galaxy IPA,0.075,60,American IPA,16,Big Muddy Brewing,Murphysboro, IL
Big River Pilsner,0.05,32,Czech Pilsener,12,Big River Brewing Company,Chattanooga, TN
House Brand IPA,0.06,55,American IPA,12,Big River Brewing Company,Chattanooga, TN
Big Sky IPA,0.062,65,American IPA,12,Big Sky Brewing Company,Missoula, MT
Scape Goat Pale Ale,0.05,40,English Pale Ale,12,Big Sky Brewing Company,Missoula, MT
Montana Trout Slayer Ale,0.05,35,American Pale Wheat Ale,12,Big Sky Brewing Company,Missoula, MT
Moose Drool Brown Ale,0.051,26,American Brown Ale,12,Big Sky Brewing Company,Missoula, MT
Powder Hound Winter Ale,0.072,60,English Strong Ale,12,Big Sky Brewing Company,Missoula, MT
Moose Drool Brown Ale (2011),0.051,26,American Brown Ale,12,Big Sky Brewing Company,Missoula, MT
Montana Trout Slayer Ale (2012),0.05,35,American Pale Wheat Ale,12,Big Sky Brewing Company,Missoula, MT
Big Sky IPA (2012),0.062,65,American IPA,12,Big Sky Brewing Company,Missoula, MT
Scape Goat Pale Ale (2010),0.05,40,English Pale Ale,12,Big Sky Brewing Company,Missoula, MT
Montana Trout Slayer Ale (2009),0.05,35,American Pale Wheat Ale,12,Big Sky Brewing Company,Missoula, MT
Moose Drool Brown Ale (2009),0.051,26,American Brown Ale,12,Big Sky Brewing Company,Missoula, MT
Arcus IPA,0.069,81,American IPA,12,Big Storm Brewing Company,Odessa, FL
Wavemaker,0.058,38,American Amber / Red Ale,12,Big Storm Brewing Company,Odessa, FL
Jack Pine Savage,0.053,43,American Pale Ale (APA),16,Big Wood Brewery,Vadnais Heights, MN
Forest Fire Imperial Smoked Rye,0.099,85,Rye Beer,16,Big Wood Brewery,Vadnais Heights, MN
Bad Axe Imperial IPA,0.098,76,American Double / Imperial IPA,16,Big Wood Brewery,Vadnais Heights, MN
Morning Wood,0.055,35,Oatmeal Stout,16,Big Wood Brewery,Vadnais Heights, MN
Bark Bite IPA,0.066,50,American IPA,16,Big Wood Brewery,Vadnais Heights, MN
Jalapeno Pale Ale,0.055,45,American Pale Ale (APA),16,Birdsong Brewing Company,Charlotte, NC
Saucy Intruder,0.072,75,Rye Beer,16,Black Acre Brewing Co.,Indianapolis, IN
Deception,0.045,16,American Blonde Ale,12,Black Market Brewing Company,Temecula, CA
Blackmarket Rye IPA,0.075,35,American IPA,12,Black Market Brewing Company,Temecula, CA
Black Market Hefeweizen,0.05,8,Hefeweizen,12,Black Market Brewing Company,Temecula, CA
Aftermath Pale Ale,0.058,44,American Pale Ale (APA),12,Black Market Brewing Company,Temecula, CA
American India Red Ale,0.071,83,American Strong Ale,12,Black Shirt Brewing Company,Denver, CO
American Red Porter,0.071,45,American Porter,12,Black Shirt Brewing Company,Denver, CO
American Red Saison,0.078,34,Saison / Farmhouse Ale,12,Black Shirt Brewing Company,Denver, CO
Colorado Red Ale,0.066,44,American Amber / Red Ale,12,Black Shirt Brewing Company,Denver, CO
Saddle Bronc Brown Ale,0.048,16,American Brown Ale,12,Black Tooth Brewing Company,Sheridan, WY
Bomber Mountain Amber Ale,0.046,20,American Amber / Red Ale,12,Black Tooth Brewing Company,Sheridan, WY
Nordskye ,0.048,47,American IPA,12,Blackrocks Brewery,Marquette, MI
North Third Stout,0.06,30,Foreign / Export Stout,12,Blackrocks Brewery,Marquette, MI
51K IPA,0.07,51,American IPA,12,Blackrocks Brewery,Marquette, MI
1327 Pod's ESB,0.056,37,Extra Special / Strong Bitter (ESB),12,Blue Blood Brewing Company,Lincoln, NE
834 Happy As Ale,0.046,35,American Pale Ale (APA),12,Blue Blood Brewing Company,Lincoln, NE
Quarter Mile Double IPA,0.08,80,American Double / Imperial IPA,12,Blue Hills Brewery,Canton, MA
Full Nelson Pale Ale,0.059,60,American Pale Ale (APA),12,Blue Mountain Brewery,Afton, VA
Steel Wheels ESB,0.065,30,Extra Special / Strong Bitter (ESB),12,Blue Mountain Brewery,Afton, VA
Blue Mountain Classic Lager,0.053,22,Euro Pale Lager,12,Blue Mountain Brewery,Afton, VA
Full Nelson Pale Ale (2010),0.059,60,American Pale Ale (APA),12,Blue Mountain Brewery,Afton, VA
Kölsch 151,0.049,16,Kölsch,12,Blue Mountain Brewery,Arrington, VA
Blue Point White IPA,0.06,40,American White IPA,12,Blue Point Brewing Company,Patchogue, NY
Blue Point Summer Ale,0.044,16,American Blonde Ale,12,Blue Point Brewing Company,Patchogue, NY
Toasted Lager,0.055,28,Vienna Lager,12,Blue Point Brewing Company,Patchogue, NY
Longhop IPA,0.042,30,American IPA,16,Bolero Snort Brewery,Ridgefield Park, NJ
Lucky Buck,0.04,34,Irish Dry Stout,16,Bolero Snort Brewery,Ridgefield Park, NJ
Bomb Lager (Old Recipe),0.045,27,Munich Helles Lager,12,Bomb Beer Company,New York, NY
Firestarter India Pale Ale,0.066,72,American IPA,12,Bonfire Brewing Company,Eagle, CO
Kilt Dropper Scotch Ale,0.075,22,Scotch Ale / Wee Heavy,16,Bonfire Brewing Company,Eagle, CO
Wood Splitter Pilsner,0.048,30,Czech Pilsener,16,Bonfire Brewing Company,Eagle, CO
Gyptoberfest,0.056,26,Märzen / Oktoberfest,12,Bonfire Brewing Company,Eagle, CO
Farmer Wirtz India Pale Ale,0.07,94,English India Pale Ale (IPA),16,Bonfire Brewing Company,Eagle, CO
Screaming Eagle Special Ale ESB,0.048,38,Extra Special / Strong Bitter (ESB),12,Bonfire Brewing Company,Eagle, CO
Kindler Pale Ale,0.053,45,American Pale Ale (APA),12,Bonfire Brewing Company,Eagle, CO
Noche Dulce,0.071,16,American Porter,16,Borderlands Brewing Company,Tucson, AZ
Porch Rocker,0.045,8,Radler,12,Boston Beer Company,Boston, MA
Rebel IPA,0.065,45,American IPA,16,Boston Beer Company,Boston, MA
Boston Lager,0.049,30,Vienna Lager,16,Boston Beer Company,Boston, MA
Samuel Adams Octoberfest,0.053,15,Märzen / Oktoberfest,12,Boston Beer Company,Boston, MA
Samuel Adams Summer Ale,0.053,7,American Pale Wheat Ale,12,Boston Beer Company,Boston, MA
Hazed & Infused,0.049,35,American Pale Ale (APA),12,Boulder Beer Company,Boulder, CO
Hoopla Pale Ale,0.057,35,American Pale Ale (APA),12,Boulder Beer Company,Boulder, CO
Hazed & Infused (2010),0.049,35,American Pale Ale (APA),12,Boulder Beer Company,Boulder, CO
Heavy Lifting,0.062,80,American IPA,12,Boulevard Brewing Company,Kansas City, MO
Plum St. Porter,0.06,52,American Porter,12,Bozeman Brewing Company,Bozeman, MT
Bozone HopZone IPA,0.07,80,American IPA,12,Bozeman Brewing Company,Bozeman, MT
Bozone Hefe Weizen,0.06,25,Hefeweizen,12,Bozeman Brewing Company,Bozeman, MT
Evil Owl,0.052,40,American Amber / Red Ale,12,Branchline Brewing Company,San Antonio, TX
Agave Wheat,0.042,9,American Pale Wheat Ale,12,Breckenridge Brewery,Denver, CO
SummerBright Ale,0.045,15,American Pale Wheat Ale,12,Breckenridge Brewery,Denver, CO
Lucky U IPA,0.062,68,American IPA,12,Breckenridge Brewery,Denver, CO
Avalanche Ale,0.054,19,American Amber / Red Ale,12,Breckenridge Brewery,Denver, CO
Last Stop IPA,0.072,60,American IPA,12,Brew Bus Brewing,Tampa, FL
Rollin Dirty Red Ale,0.05,21,Irish Red Ale,12,Brew Bus Brewing,Tampa, FL
Are Wheat There Yet?,0.055,28,American Pale Wheat Ale,12,Brew Bus Brewing,Tampa, FL
Northern Lights Amber Ale,0.05,15,American Amber / Red Ale,12,Broken Tooth Brewing Company,Anchorage, AK
Polar Pale Ale,0.052,17,American Pale Ale (APA),12,Broken Tooth Brewing Company,Anchorage, AK
Fairweather IPA,0.061,64,American IPA,12,Broken Tooth Brewing Company,Anchorage, AK
East India Pale Ale,0.068,47,English India Pale Ale (IPA),16,Brooklyn Brewery,Brooklyn, NY
Black Adder IBA (Current),0.073,85,American Black Ale,16,Buckbean Brewing Company,Reno, NV
Tule Duck Red Ale (Current),0.062,42,American Amber / Red Ale,16,Buckbean Brewing Company,Reno, NV
Original Orange Blossom Ale (Current),0.058,35,Herbed / Spiced Beer,16,Buckbean Brewing Company,Reno, NV
Black Noddy Lager (Current),0.052,40,Schwarzbier,16,Buckbean Brewing Company,Reno, NV
1836,0.06,40,American Blonde Ale,12,Buffalo Bayou Brewing Company,Houston, TX
Summer's Wit,0.06,20,Witbier,12,Buffalo Bayou Brewing Company,Houston, TX
More Cowbell,0.09,118,American Double / Imperial IPA,16,Buffalo Bayou Brewing Company,Houston, TX
Pale Alement,0.055,40,American Pale Ale (APA),12,Burn 'Em Brewing,Michigan City, IN
Hopkick Dropkick,0.099,115,American Double / Imperial IPA,12,Burn 'Em Brewing,Michigan City, IN
Joey Wheat,0.068,16,American Pale Wheat Ale,16,Burn 'Em Brewing,Michigan City, IN
3:33 Black IPA,0.072,86,American IPA,16,Burn 'Em Brewing,Michigan City, IN
Couch Select Lager,0.05,14,American Pale Lager,12,Burnside Brewing Co.,Portland, OR
Mucho Aloha Hawaiian Pale Ale,0.056,36,American Pale Ale (APA),12,Butcher's Brewing,Carlsbad, CA
Horny Toad Cerveza,0.053,25,American Blonde Ale,16,COOP Ale Works,Oklahoma City, OK
Native Amber,0.063,35,American Amber / Red Ale,16,COOP Ale Works,Oklahoma City, OK
F5 IPA,0.068,100,American IPA,16,COOP Ale Works,Oklahoma City, OK
Native Amber (2013),0.063,35,American Amber / Red Ale,16,COOP Ale Works,Oklahoma City, OK
Horny Toad Cerveza (2013),0.053,25,American Blonde Ale,16,COOP Ale Works,Oklahoma City, OK
Hopportunity Knocks IPA,0.068,100,American IPA,12,Caldera Brewing Company,Ashland, OR
Caldera Pale Ale,0.056,55,American Pale Ale (APA),12,Caldera Brewing Company,Ashland, OR
Lawnmower Lager,0.039,16,American Adjunct Lager,12,Caldera Brewing Company,Ashland, OR
Ashland Amber Ale (2009),0.054,24,American Amber / Red Ale,12,Caldera Brewing Company,Ashland, OR
Caldera IPA (2009),0.061,94,American IPA,12,Caldera Brewing Company,Ashland, OR
Caldera IPA (2007),0.061,94,American IPA,12,Caldera Brewing Company,Ashland, OR
Caldera Pale Ale (2010),0.056,55,American Pale Ale (APA),12,Caldera Brewing Company,Ashland, OR
Caldera Pale Ale (2009),0.056,55,American Pale Ale (APA),12,Caldera Brewing Company,Ashland, OR
Caldera Pale Ale (2005),0.056,55,American Pale Ale (APA),12,Caldera Brewing Company,Ashland, OR
Caldera Pale Ale (2007),0.056,55,American Pale Ale (APA),12,Caldera Brewing Company,Ashland, OR
Caldera Pale Ale (2011),0.056,55,American Pale Ale (APA),12,Caldera Brewing Company,Ashland, OR
Ashland Amber Ale,0.054,24,American Amber / Red Ale,12,Caldera Brewing Company,Ashland, OR
Caldera IPA,0.061,94,American IPA,12,Caldera Brewing Company,Ashland, OR
Imperial Pumpkin Stout,0.099,43,Pumpkin Ale,16,Cape Ann Brewing Company,Gloucester, MA
Dead-Eye DIPA,0.09,130,American Double / Imperial IPA,16,Cape Ann Brewing Company,Gloucester, MA
Fisherman's IPA,0.055,64,American IPA,12,Cape Ann Brewing Company,Gloucester, MA
Fisherman's Pils,0.054,35,German Pilsener,12,Cape Ann Brewing Company,Gloucester, MA
Fisherman's Brew,0.055,30,American Amber / Red Ale,12,Cape Ann Brewing Company,Gloucester, MA
Cape Cod Red,0.055,35,American Amber / Red Ale,16,Cape Cod Beer,Hyannis, MA
Beach Blonde,0.049,10,American Blonde Ale,16,Cape Cod Beer,Hyannis, MA
Dark Voyage Black IPA (2013),0.065,80,American Black Ale,12,Capital Brewery,Middleton, WI
Wisconsin Amber,0.052,28,Vienna Lager,12,Capital Brewery,Middleton, WI
Lake House,0.046,18,Munich Helles Lager,12,Capital Brewery,Middleton, WI
Ghost Ship White IPA,0.056,55,American IPA,12,Capital Brewery,Middleton, WI
Mutiny IPA,0.062,70,American IPA,12,Capital Brewery,Middleton, WI
Santa's Secret,0.059,22,Winter Warmer,16,Carolina Brewery,Pittsboro, NC
Epitome,0.099,100,American Black Ale,16,Carton Brewing Company,Atlantic Highlands, NJ
Monkey Chased the Weasel,0.039,9,Berliner Weissbier,16,Carton Brewing Company,Atlantic Highlands, NJ
077XX,0.078,80,American Double / Imperial IPA,16,Carton Brewing Company,Atlantic Highlands, NJ
Boat Beer,0.042,35,American IPA,12,Carton Brewing Company,Atlantic Highlands, NJ
Whitecap Wit,0.048,16,Witbier,16,Catawba Island Brewing,Port Clinton, OH
Seiche Scottish Ale,0.078,16,Scottish Ale,16,Catawba Island Brewing,Port Clinton, OH
Gone A-Rye,0.085,90,American Double / Imperial IPA,16,Cedar Creek Brewery,Seven Points, TX
Dankosaurus,0.068,70,American IPA,16,Cedar Creek Brewery,Seven Points, TX
Scruffy's Smoked Alt,0.051,35,Smoked Beer,16,Cedar Creek Brewery,Seven Points, TX
Elliott's Phoned Home Pale Ale,0.051,36,American Pale Ale (APA),16,Cedar Creek Brewery,Seven Points, TX
The Lawn Ranger,0.05,18,Cream Ale,16,Cedar Creek Brewery,Seven Points, TX
Main St. Virginia Ale,0.05,40,Altbier,12,Center of the Universe Brewing C...,Ashland, VA
Chin Music Amber Lager,0.045,24,American Amber / Red Lager,12,Center of the Universe Brewing C...,Ashland, VA
Ray Ray’s Pale Ale,0.052,42,American Pale Ale (APA),12,Center of the Universe Brewing C...,Ashland, VA
Chai Ale,0.051,15,Herbed / Spiced Beer,16,Central Coast Brewing Company,San Luis Obispo, CA
Lucky Day IPA,0.072,85,American IPA,16,Central Coast Brewing Company,San Luis Obispo, CA
Terrace Hill Double IPA,0.095,99,American Double / Imperial IPA,16,Central Coast Brewing Company,San Luis Obispo, CA
Catch 23,0.075,77,American Black Ale,16,Central Coast Brewing Company,San Luis Obispo, CA
Black Me Stout,0.06,45,American Stout,12,Champion Brewing Company,Charlottesville, VA
Killer Kolsch,0.05,22,Kölsch,12,Champion Brewing Company,Charlottesville, VA
Missile IPA,0.07,65,American IPA,12,Champion Brewing Company,Charlottesville, VA
Ale Cider,0.065,8,Fruit / Vegetable Beer,16,Chapman's Brewing,Angola, IN
Pail Ale,0.055,30,American Pale Ale (APA),16,Chapman's Brewing,Angola, IN
8 Barrel,0.08,69,American Strong Ale,16,Chatham Brewing,Chatham, NY
Oktoberfest,0.055,40,Märzen / Oktoberfest,16,Chatham Brewing,Chatham, NY
