id,brewery_id,name_x,style,abv,ibu,ounces,name_y,city,state
47,481,Ballz Deep Double IPA,American Double / Imperial IPA,0.084,82,16,7 Seas Brewing Company,Gig Harbor, WA
1165,462,Colorado Native,American Amber / Red Lager,0.055,26,12,AC Golden Brewing Company,Golden, CO
431,462,Colorado Native (2011),American Amber / Red Lager,0.055,26,12,AC Golden Brewing Company,Golden, CO
516,533,Jockamo IPA,American IPA,0.065,52,12,Abita Brewing Company,Abita Springs, LA
515,533,Purple Haze,Fruit / Vegetable Beer,0.042,13,12,Abita Brewing Company,Abita Springs, LA
514,533,Abita Amber,American Amber / Red Lager,0.045,17,12,Abita Brewing Company,Abita Springs, LA
2540,62,Citra Ass Down,American IPA,0.082,68,16,Against The Grain Brewery,Louisville, KY
2539,62,The Brown Note,American Brown Ale,0.05,20,16,Against The Grain Brewery,Louisville, KY
2686,1,Citra Ass Down,American Double / Imperial IPA,0.08,68,16,Against the Grain Brewery,Louisville, KY
2685,1,London Balling,English Barleywine,0.125,80,16,Against the Grain Brewery,Louisville, KY
2684,1,35 K,Milk / Sweet Stout,0.077,25,16,Against the Grain Brewery,Louisville, KY
2683,1,A Beer,American Pale Ale (APA),0.042,42,16,Against the Grain Brewery,Louisville, KY
2682,1,Rules are Rules,German Pilsener,0.05,25,16,Against the Grain Brewery,Louisville, KY
2681,1,Flesh Gourd'n,Pumpkin Ale,0.066,21,16,Against the Grain Brewery,Louisville, KY
2680,1,Sho'nuff,Belgian Pale Ale,0.04,13,16,Against the Grain Brewery,Louisville, KY
2679,1,Bloody Show,American Pilsner,0.055,17,16,Against the Grain Brewery,Louisville, KY
2678,1,Rico Sauvin,American Double / Imperial IPA,0.076,68,16,Against the Grain Brewery,Louisville, KY
2677,1,Coq de la Marche,Saison / Farmhouse Ale,0.051,38,16,Against the Grain Brewery,Louisville, KY
2675,1,Pile of Face,American IPA,0.06,65,16,Against the Grain Brewery,Louisville, KY
2674,1,The Brown Note,English Brown Ale,0.05,20,16,Against the Grain Brewery,Louisville, KY
1594,367,Maylani's Coconut Stout,American Stout,0.053,35,16,Airways Brewing Company,Kent, WA
1162,367,Oatmeal PSA,American Pale Ale (APA),0.05,35,16,Airways Brewing Company,Kent, WA
1137,367,Pre Flight Pilsner,American Pilsner,0.052,33,16,Airways Brewing Company,Kent, WA
2403,117,P-Town Pilsner,American Pilsner,0.04,20,12,Alameda Brewing,Portland, OR
2402,117,Klickitat Pale Ale,American Pale Ale (APA),0.053,36,12,Alameda Brewing,Portland, OR
2401,117,Yellow Wolf Imperial IPA,American Double / Imperial IPA,0.082,103,12,Alameda Brewing,Portland, OR
1921,270,Freeride APA,American Pale Ale (APA),0.053,40,12,Alaskan Brewing Company,Juneau, AK
1920,270,Alaskan Amber,Altbier,0.053,18,12,Alaskan Brewing Company,Juneau, AK
837,401,Desolation IPA,American IPA,0.062,43,16,Amnesia Brewing Company,Washougal, WA
1520,171,Barney Flats Oatmeal Stout,Oatmeal Stout,0.057,13,12,Anderson Valley Brewing Company,Boonville, CA
1350,171,Summer Solstice,Cream Ale,0.056,4,12,Anderson Valley Brewing Company,Boonville, CA
1327,171,Hop Ottin' IPA,American IPA,0.07,80,12,Anderson Valley Brewing Company,Boonville, CA
1326,171,Boont Amber Ale,American Amber / Red Ale,0.058,15,12,Anderson Valley Brewing Company,Boonville, CA
1221,171,Barney Flats Oatmeal Stout,Oatmeal Stout,0.057,13,12,Anderson Valley Brewing Company,Boonville, CA
1217,171,El Steinber Dark Lager,Vienna Lager,0.055,25,16,Anderson Valley Brewing Company,Boonville, CA
811,171,Boont Amber Ale (2010),American Amber / Red Ale,0.058,15,12,Anderson Valley Brewing Company,Boonville, CA
753,171,Summer Solstice Cerveza Crema (2009),Cream Ale,0.056,4,12,Anderson Valley Brewing Company,Boonville, CA
572,171,Barney Flats Oatmeal Stout (2012),Oatmeal Stout,0.057,13,12,Anderson Valley Brewing Company,Boonville, CA
523,171,Winter Solstice,Winter Warmer,0.069,6,12,Anderson Valley Brewing Company,Boonville, CA
367,171,Hop Ottin' IPA (2011),American IPA,0.07,80,12,Anderson Valley Brewing Company,Boonville, CA
78,171,Boont Amber Ale (2011),American Amber / Red Ale,0.058,15,12,Anderson Valley Brewing Company,Boonville, CA
77,171,Summer Solstice (2011),Cream Ale,0.056,4,12,Anderson Valley Brewing Company,Boonville, CA
76,171,Poleeko Gold Pale Ale (2009),American Pale Ale (APA),0.055,28,12,Anderson Valley Brewing Company,Boonville, CA
2511,69,Long Leaf,American IPA,0.071,75,16,Appalachian Mountain Brewery,Boone, NC
2510,69,Honey Badger Blonde,American Blonde Ale,0.047,19,16,Appalachian Mountain Brewery,Boone, NC
2509,69,Porter (a/k/a Black Gold Porter),American Porter,0.06,23,16,Appalachian Mountain Brewery,Boone, NC
413,541,Sky High Rye,American Pale Ale (APA),0.06,55,12,Arcadia Brewing Company,Battle Creek, MI
390,541,Whitsun,American Pale Wheat Ale,0.062,17,12,Arcadia Brewing Company,Battle Creek, MI
1333,426,Quakertown Stout,American Double / Imperial Stout,0.092,50,12,Armadillo Ale Works,Denton, TX
1332,426,Greenbelt Farmhouse Ale,Saison / Farmhouse Ale,0.051,20,12,Armadillo Ale Works,Denton, TX
1172,461,Mo's Gose,Gose,0.052,10,16,Armstrong Brewing Company,South San Francisco, CA
1322,429,Green Bullet Organic India Pale Ale,American IPA,0.07,45,16,Asher Brewing Company,Boulder, CO
550,528,Rocket Girl,Kölsch,0.032,27,12,Asheville Brewing Company,Asheville, NC
429,528,Ninja Porter,American Porter,0.053,26,12,Asheville Brewing Company,Asheville, NC
428,528,Shiva IPA,American IPA,0.06,69,12,Asheville Brewing Company,Asheville, NC
597,523,This Season's Blonde,American Blonde Ale,0.056,27,12,Aspen Brewing Company,Aspen, CO
596,523,Independence Pass Ale,American IPA,0.07,67,12,Aspen Brewing Company,Aspen, CO
1580,374,Trolley Stop Stout,American Stout,0.057,40,12,Astoria Brewing Company,Astoria, OR
980,374,Bitter Bitch Imperial IPA,American Double / Imperial IPA,0.082,138,12,Astoria Brewing Company,Astoria, OR
979,374,Poop Deck Porter,American Porter,0.062,35,12,Astoria Brewing Company,Astoria, OR
978,374,Old Red Beard Amber Ale,American Amber / Red Ale,0.06,35,12,Astoria Brewing Company,Astoria, OR
2503,72,Hop A-Peel,American Double / Imperial IPA,0.075,115,16,Atwater Brewery,Detroit, MI
2502,72,Vanilla Java Porter,American Porter,0.055,12,16,Atwater Brewery,Detroit, MI
534,72,Dirty Blonde Ale,American Blonde Ale,0.045,8,12,Atwater Brewery,Detroit, MI
528,72,Grand Circus IPA,American IPA,0.05,62,12,Atwater Brewery,Detroit, MI
527,72,Atwater's Lager,Munich Helles Lager,0.05,12,12,Atwater Brewery,Detroit, MI
146,37,Avery Joe’s Premium American Pilsner,German Pilsener,0.047,42,12,Avery Brewing Company,Boulder, CO
108,37,White Rascal,Witbier,0.056,10,12,Avery Brewing Company,Boulder, CO
107,37,Avery India Pale Ale,American IPA,0.063,69,12,Avery Brewing Company,Boulder, CO
106,37,Ellie’s Brown Ale,American Brown Ale,0.055,17,12,Avery Brewing Company,Boulder, CO
1620,360,Pumpkin Beast,Pumpkin Ale,0.062,17,12,Aviator Brewing Company,Fuquay-Varina, NC
1579,360,OktoberBeast,Märzen / Oktoberfest,0.072,22,12,Aviator Brewing Company,Fuquay-Varina, NC
1228,360,Mad Beach,American Pale Wheat Ale,0.048,23,12,Aviator Brewing Company,Fuquay-Varina, NC
704,360,Devils Tramping Ground Tripel,Tripel,0.092,5,12,Aviator Brewing Company,Fuquay-Varina, NC
702,360,Hot Rod Red,American Amber / Red Ale,0.061,41,12,Aviator Brewing Company,Fuquay-Varina, NC
1875,286,Naked Pig Pale Ale,American Pale Ale (APA),0.06,43,12,Back Forty Beer Company,Gadsden, AL
966,483,Topcutter India Pale Ale,American IPA,0.068,70,12,Bale Breaker Brewing Company,Yakima, WA
965,483,Field 41 Pale Ale,American Pale Ale (APA),0.044,38,12,Bale Breaker Brewing Company,Yakima, WA
2105,34,Even Keel,American IPA,0.038,40,12,Ballast Point Brewing Company,San Diego, CA
1401,34,Ballast Point Pale Ale,Kölsch,0.052,23,12,Ballast Point Brewing Company,San Diego, CA
1400,34,Big Eye India Pale Ale,American IPA,0.07,75,12,Ballast Point Brewing Company,San Diego, CA
1018,34,Sculpin IPA,American IPA,0.07,70,12,Ballast Point Brewing Company,San Diego, CA
1644,318,Banner American Rye,Rye Beer,0.045,20,12,Banner Beer Company,Williamsburg, MA
1643,318,Banner American Ale,American Amber / Red Ale,0.035,45,12,Banner Beer Company,Williamsburg, MA
2618,20,Thai.p.a,American IPA,0.07,46,16,Bare Hands Brewery,Granger, IN
2005,251,Barrio Blanco,American IPA,0.06,60,12,Barrio Brewing Company,Tucson, AZ
2404,116,Hop in the ‘Pool Helles,American Pilsner,0.049,22,12,Base Camp Brewing Co.,Portland, OR
2323,116,Ultra Gnar Gnar IPA,American IPA,0.067,60,12,Base Camp Brewing Co.,Portland, OR
2189,116,In-Tents India Pale Lager,American Pale Lager,0.068,62,12,Base Camp Brewing Co.,Portland, OR
2188,116,Lost Meridian Wit,Witbier,0.05,20,12,Base Camp Brewing Co.,Portland, OR
2187,116,Celestial Meridian Cascadian Dark Lager,Euro Dark Lager,0.051,45,12,Base Camp Brewing Co.,Portland, OR
1966,258,Wagon Party,California Common / Steam Beer,0.054,55,12,Bauhaus Brew Labs,Minneapolis, MN
1965,258,Sky-Five,American IPA,0.067,70,12,Bauhaus Brew Labs,Minneapolis, MN
1964,258,Stargrazer,Schwarzbier,0.05,28,12,Bauhaus Brew Labs,Minneapolis, MN
1963,258,Wonderstuff,German Pilsener,0.054,48,12,Bauhaus Brew Labs,Minneapolis, MN
1778,292,On the Count of 3 (2015),Hefeweizen,0.07,42,16,Baxter Brewing Company,Lewiston, ME
533,292,Amber Road,American Amber / Red Ale,0.055,35,12,Baxter Brewing Company,Lewiston, ME
183,292,Pamola Xtra Pale Ale,American Pale Ale (APA),0.049,28,12,Baxter Brewing Company,Lewiston, ME
182,292,Stowaway IPA,American IPA,0.069,69,12,Baxter Brewing Company,Lewiston, ME
1806,306,Hoptopus Double IPA,American Double / Imperial IPA,0.088,108,16,Beach Brewing Company,Virginia Beach, VA
2435,103,Watermelon Ale,Fruit / Vegetable Beer,0.05,10,12,Beer Works Brewery,Lowell, MA
2423,103,Fenway American Pale Ale,American Pale Ale (APA),0.058,45,12,Beer Works Brewery,Lowell, MA
2420,103,Back Bay IPA,American IPA,0.068,85,12,Beer Works Brewery,Lowell, MA
2419,103,Bunker Hill Blueberry Ale ,Other,0.048,16,12,Beer Works Brewery,Lowell, MA
2558,53,Moar,English India Pale Ale (IPA),0.044,44,12,Bent Brewstillery,Roseville, MN
2556,53,Nordic Blonde,American Blonde Ale,0.057,27,12,Bent Brewstillery,Roseville, MN
2410,75,Harness the Winter,American IPA,0.072,87,12,Bent Paddle Brewing Company,Duluth, MN
1902,75,14° ESB ,Extra Special / Strong Bitter (ESB),0.056,32,12,Bent Paddle Brewing Company,Duluth, MN
1901,75,Bent Hop Golden IPA,American IPA,0.062,68,12,Bent Paddle Brewing Company,Duluth, MN
1261,75,Bent Paddle Black Ale,American Black Ale,0.06,34,12,Bent Paddle Brewing Company,Duluth, MN
1253,75,Venture Pils,German Pilsener,0.05,38,12,Bent Paddle Brewing Company,Duluth, MN
1900,278,Lost Sailor IPA,English India Pale Ale (IPA),0.055,40,12,Berkshire Brewing Company,South Deerfield, MA
1317,278,Steel Rail Extra Pale Ale,American Pale Ale (APA),0.053,20,12,Berkshire Brewing Company,South Deerfield, MA
2104,220,Aprè Shred,American Strong Ale,0.081,17,16,Big Choice Brewing,Broomfield, CO
1762,220,Hemlock Double IPA,American Double / Imperial IPA,0.095,104,12,Big Choice Brewing,Broomfield, CO
1067,220,Disconnected Red,American Amber / Red Ale,0.067,85,16,Big Choice Brewing,Broomfield, CO
2639,8,Dark Star,American Stout,0.08,54,16,Big Lake Brewing,Holland, MI
2585,40,Galaxy IPA,American IPA,0.075,60,16,Big Muddy Brewing,Murphysboro, IL
643,519,Big River Pilsner,Czech Pilsener,0.05,32,12,Big River Brewing Company,Chattanooga, TN
632,519,House Brand IPA,American IPA,0.06,55,12,Big River Brewing Company,Chattanooga, TN
1714,336,Big Sky IPA,American IPA,0.062,65,12,Big Sky Brewing Company,Missoula, MT
1713,336,Scape Goat Pale Ale,English Pale Ale,0.05,40,12,Big Sky Brewing Company,Missoula, MT
1712,336,Montana Trout Slayer Ale,American Pale Wheat Ale,0.05,35,12,Big Sky Brewing Company,Missoula, MT
1711,336,Moose Drool Brown Ale,American Brown Ale,0.051,26,12,Big Sky Brewing Company,Missoula, MT
1456,336,Powder Hound Winter Ale,English Strong Ale,0.072,60,12,Big Sky Brewing Company,Missoula, MT
767,336,Moose Drool Brown Ale (2011),American Brown Ale,0.051,26,12,Big Sky Brewing Company,Missoula, MT
766,336,Montana Trout Slayer Ale (2012),American Pale Wheat Ale,0.05,35,12,Big Sky Brewing Company,Missoula, MT
579,336,Big Sky IPA (2012),American IPA,0.062,65,12,Big Sky Brewing Company,Missoula, MT
159,336,Scape Goat Pale Ale (2010),English Pale Ale,0.05,40,12,Big Sky Brewing Company,Missoula, MT
35,336,Montana Trout Slayer Ale (2009),American Pale Wheat Ale,0.05,35,12,Big Sky Brewing Company,Missoula, MT
34,336,Moose Drool Brown Ale (2009),American Brown Ale,0.051,26,12,Big Sky Brewing Company,Missoula, MT
2096,221,Arcus IPA,American IPA,0.069,81,12,Big Storm Brewing Company,Odessa, FL
2095,221,Wavemaker,American Amber / Red Ale,0.058,38,12,Big Storm Brewing Company,Odessa, FL
1257,444,Jack Pine Savage,American Pale Ale (APA),0.053,43,16,Big Wood Brewery,Vadnais Heights, MN
1256,444,Forest Fire Imperial Smoked Rye,Rye Beer,0.099,85,16,Big Wood Brewery,Vadnais Heights, MN
1255,444,Bad Axe Imperial IPA,American Double / Imperial IPA,0.098,76,16,Big Wood Brewery,Vadnais Heights, MN
986,444,Morning Wood,Oatmeal Stout,0.055,35,16,Big Wood Brewery,Vadnais Heights, MN
985,444,Bark Bite IPA,American IPA,0.066,50,16,Big Wood Brewery,Vadnais Heights, MN
2508,70,Jalapeno Pale Ale,American Pale Ale (APA),0.055,45,16,Birdsong Brewing Company,Charlotte, NC
2620,18,Saucy Intruder,Rye Beer,0.072,75,16,Black Acre Brewing Co.,Indianapolis, IN
2412,112,Deception,American Blonde Ale,0.045,16,12,Black Market Brewing Company,Temecula, CA
1898,112,Blackmarket Rye IPA,American IPA,0.075,35,12,Black Market Brewing Company,Temecula, CA
1897,112,Black Market Hefeweizen,Hefeweizen,0.05,8,12,Black Market Brewing Company,Temecula, CA
1896,112,Aftermath Pale Ale,American Pale Ale (APA),0.058,44,12,Black Market Brewing Company,Temecula, CA
1850,294,American India Red Ale,American Strong Ale,0.071,83,12,Black Shirt Brewing Company,Denver, CO
1849,294,American Red Porter,American Porter,0.071,45,12,Black Shirt Brewing Company,Denver, CO
1848,294,American Red Saison,Saison / Farmhouse Ale,0.078,34,12,Black Shirt Brewing Company,Denver, CO
1847,294,Colorado Red Ale,American Amber / Red Ale,0.066,44,12,Black Shirt Brewing Company,Denver, CO
2485,79,Saddle Bronc Brown Ale,American Brown Ale,0.048,16,12,Black Tooth Brewing Company,Sheridan, WY
2484,79,Bomber Mountain Amber Ale,American Amber / Red Ale,0.046,20,12,Black Tooth Brewing Company,Sheridan, WY
2634,12,Nordskye ,American IPA,0.048,47,12,Blackrocks Brewery,Marquette, MI
2153,12,North Third Stout,Foreign / Export Stout,0.06,30,12,Blackrocks Brewery,Marquette, MI
1481,12,51K IPA,American IPA,0.07,51,12,Blackrocks Brewery,Marquette, MI
888,380,1327 Pod's ESB,Extra Special / Strong Bitter (ESB),0.056,37,12,Blue Blood Brewing Company,Lincoln, NE
886,380,1327 Pod's ESB,Extra Special / Strong Bitter (ESB),0.056,37,12,Blue Blood Brewing Company,Lincoln, NE
612,380,1327 Pod's ESB,Extra Special / Strong Bitter (ESB),0.056,37,12,Blue Blood Brewing Company,Lincoln, NE
611,380,834 Happy As Ale,American Pale Ale (APA),0.046,35,12,Blue Blood Brewing Company,Lincoln, NE
1812,304,Quarter Mile Double IPA,American Double / Imperial IPA,0.08,80,12,Blue Hills Brewery,Canton, MA
1547,382,Full Nelson Pale Ale,American Pale Ale (APA),0.059,60,12,Blue Mountain Brewery,Afton, VA
1546,382,Steel Wheels ESB,Extra Special / Strong Bitter (ESB),0.065,30,12,Blue Mountain Brewery,Afton, VA
1545,382,Blue Mountain Classic Lager,Euro Pale Lager,0.053,22,12,Blue Mountain Brewery,Afton, VA
119,382,Full Nelson Pale Ale (2010),American Pale Ale (APA),0.059,60,12,Blue Mountain Brewery,Afton, VA
1408,414,Kölsch 151,Kölsch,0.049,16,12,Blue Mountain Brewery,Arrington, VA
692,489,Blue Point White IPA,American White IPA,0.06,40,12,Blue Point Brewing Company,Patchogue, NY
667,489,Blue Point Summer Ale,American Blonde Ale,0.044,16,12,Blue Point Brewing Company,Patchogue, NY
665,489,Toasted Lager,Vienna Lager,0.055,28,12,Blue Point Brewing Company,Patchogue, NY
1891,281,Longhop IPA,American IPA,0.042,30,16,Bolero Snort Brewery,Ridgefield Park, NJ
1890,281,Lucky Buck,Irish Dry Stout,0.04,34,16,Bolero Snort Brewery,Ridgefield Park, NJ
513,525,Bomb Lager (Old Recipe),Munich Helles Lager,0.045,27,12,Bomb Beer Company,New York, NY
2422,107,Firestarter India Pale Ale,American IPA,0.066,72,12,Bonfire Brewing Company,Eagle, CO
1727,107,Kilt Dropper Scotch Ale,Scotch Ale / Wee Heavy,0.075,22,16,Bonfire Brewing Company,Eagle, CO
1614,107,Wood Splitter Pilsner,Czech Pilsener,0.048,30,16,Bonfire Brewing Company,Eagle, CO
1613,107,Gyptoberfest,Märzen / Oktoberfest,0.056,26,12,Bonfire Brewing Company,Eagle, CO
1549,107,Farmer Wirtz India Pale Ale,English India Pale Ale (IPA),0.07,94,16,Bonfire Brewing Company,Eagle, CO
1360,107,Screaming Eagle Special Ale ESB,Extra Special / Strong Bitter (ESB),0.048,38,12,Bonfire Brewing Company,Eagle, CO
1183,107,Kindler Pale Ale,American Pale Ale (APA),0.053,45,12,Bonfire Brewing Company,Eagle, CO
633,107,Firestarter India Pale Ale,American IPA,0.066,72,16,Bonfire Brewing Company,Eagle, CO
2062,231,Noche Dulce,American Porter,0.071,16,16,Borderlands Brewing Company,Tucson, AZ
1830,300,Porch Rocker,Radler,0.045,8,12,Boston Beer Company,Boston, MA
1629,300,Rebel IPA,American IPA,0.065,45,16,Boston Beer Company,Boston, MA
1349,300,Boston Lager,Vienna Lager,0.049,30,16,Boston Beer Company,Boston, MA
1310,300,Boston Lager,Vienna Lager,0.049,30,12,Boston Beer Company,Boston, MA
1281,300,Samuel Adams Octoberfest,Märzen / Oktoberfest,0.053,15,12,Boston Beer Company,Boston, MA
1144,300,Samuel Adams Summer Ale,American Pale Wheat Ale,0.053,7,12,Boston Beer Company,Boston, MA
1143,300,Boston Lager,Vienna Lager,0.049,30,12,Boston Beer Company,Boston, MA
1395,417,Hazed & Infused,American Pale Ale (APA),0.049,35,12,Boulder Beer Company,Boulder, CO
808,417,Hoopla Pale Ale,American Pale Ale (APA),0.057,35,12,Boulder Beer Company,Boulder, CO
81,417,Hazed & Infused (2010),American Pale Ale (APA),0.049,35,12,Boulder Beer Company,Boulder, CO
2596,31,Heavy Lifting,American IPA,0.062,80,12,Boulevard Brewing Company,Kansas City, MO
2107,219,Plum St. Porter,American Porter,0.06,52,12,Bozeman Brewing Company,Bozeman, MT
1573,219,Plum St. Porter,American Porter,0.057,52,12,Bozeman Brewing Company,Bozeman, MT
1289,219,Bozone HopZone IPA,American IPA,0.07,80,12,Bozeman Brewing Company,Bozeman, MT
1288,219,Bozone Hefe Weizen,Hefeweizen,0.06,25,12,Bozeman Brewing Company,Bozeman, MT
2167,207,Evil Owl,American Amber / Red Ale,0.052,40,12,Branchline Brewing Company,San Antonio, TX
1522,391,Agave Wheat,American Pale Wheat Ale,0.042,9,12,Breckenridge Brewery,Denver, CO
397,391,SummerBright Ale,American Pale Wheat Ale,0.045,15,12,Breckenridge Brewery,Denver, CO
193,391,Lucky U IPA,American IPA,0.062,68,12,Breckenridge Brewery,Denver, CO
83,391,Avalanche Ale,American Amber / Red Ale,0.054,19,12,Breckenridge Brewery,Denver, CO
1801,308,Last Stop IPA,American IPA,0.072,60,12,Brew Bus Brewing,Tampa, FL
1800,308,Rollin Dirty Red Ale,Irish Red Ale,0.05,21,12,Brew Bus Brewing,Tampa, FL
1799,308,Are Wheat There Yet?,American Pale Wheat Ale,0.055,28,12,Brew Bus Brewing,Tampa, FL
921,493,Northern Lights Amber Ale,American Amber / Red Ale,0.05,15,12,Broken Tooth Brewing Company,Anchorage, AK
920,493,Polar Pale Ale,American Pale Ale (APA),0.052,17,12,Broken Tooth Brewing Company,Anchorage, AK
648,493,Fairweather IPA,American IPA,0.061,64,12,Broken Tooth Brewing Company,Anchorage, AK
1279,437,East India Pale Ale,English India Pale Ale (IPA),0.068,47,16,Brooklyn Brewery,Brooklyn, NY
566,437,East India Pale Ale,English India Pale Ale (IPA),0.068,47,12,Brooklyn Brewery,Brooklyn, NY
383,530,Black Adder IBA (Current),American Black Ale,0.073,85,16,Buckbean Brewing Company,Reno, NV
28,530,Tule Duck Red Ale (Current),American Amber / Red Ale,0.062,42,16,Buckbean Brewing Company,Reno, NV
27,530,Original Orange Blossom Ale (Current),Herbed / Spiced Beer,0.058,35,16,Buckbean Brewing Company,Reno, NV
26,530,Black Noddy Lager (Current),Schwarzbier,0.052,40,16,Buckbean Brewing Company,Reno, NV
2125,214,1836,American Blonde Ale,0.06,40,12,Buffalo Bayou Brewing Company,Houston, TX
2124,214,Summer's Wit,Witbier,0.06,20,12,Buffalo Bayou Brewing Company,Houston, TX
2123,214,More Cowbell,American Double / Imperial IPA,0.09,118,16,Buffalo Bayou Brewing Company,Houston, TX
2478,24,Pale Alement,American Pale Ale (APA),0.055,40,12,Burn 'Em Brewing,Michigan City, IN
2471,24,Hopkick Dropkick,American Double / Imperial IPA,0.099,115,12,Burn 'Em Brewing,Michigan City, IN
2160,24,Joey Wheat,American Pale Wheat Ale,0.068,16,16,Burn 'Em Brewing,Michigan City, IN
2158,24,3:33 Black IPA,American IPA,0.072,86,16,Burn 'Em Brewing,Michigan City, IN
2054,24,Pale Alement,American Pale Ale (APA),0.055,40,16,Burn 'Em Brewing,Michigan City, IN
2196,197,Couch Select Lager,American Pale Lager,0.05,14,12,Burnside Brewing Co.,Portland, OR
668,517,Mucho Aloha Hawaiian Pale Ale,American Pale Ale (APA),0.056,36,12,Butcher's Brewing,Carlsbad, CA
2214,182,Horny Toad Cerveza,American Blonde Ale,0.053,25,16,COOP Ale Works,Oklahoma City, OK
2213,182,Native Amber,American Amber / Red Ale,0.063,35,16,COOP Ale Works,Oklahoma City, OK
1442,182,F5 IPA,American IPA,0.068,100,16,COOP Ale Works,Oklahoma City, OK
170,182,Native Amber (2013),American Amber / Red Ale,0.063,35,16,COOP Ale Works,Oklahoma City, OK
169,182,Horny Toad Cerveza (2013),American Blonde Ale,0.053,25,16,COOP Ale Works,Oklahoma City, OK
2315,155,Hopportunity Knocks IPA,American IPA,0.068,100,12,Caldera Brewing Company,Ashland, OR
1419,155,Caldera Pale Ale,American Pale Ale (APA),0.056,55,12,Caldera Brewing Company,Ashland, OR
878,155,Lawnmower Lager,American Adjunct Lager,0.039,16,12,Caldera Brewing Company,Ashland, OR
794,155,Ashland Amber Ale (2009),American Amber / Red Ale,0.054,24,12,Caldera Brewing Company,Ashland, OR
793,155,Caldera IPA (2009),American IPA,0.061,94,12,Caldera Brewing Company,Ashland, OR
792,155,Caldera IPA (2007),American IPA,0.061,94,12,Caldera Brewing Company,Ashland, OR
791,155,Caldera Pale Ale (2010),American Pale Ale (APA),0.056,55,12,Caldera Brewing Company,Ashland, OR
790,155,Caldera Pale Ale (2009),American Pale Ale (APA),0.056,55,12,Caldera Brewing Company,Ashland, OR
789,155,Caldera Pale Ale (2005),American Pale Ale (APA),0.056,55,12,Caldera Brewing Company,Ashland, OR
788,155,Caldera Pale Ale (2007),American Pale Ale (APA),0.056,55,12,Caldera Brewing Company,Ashland, OR
38,155,Caldera Pale Ale (2011),American Pale Ale (APA),0.056,55,12,Caldera Brewing Company,Ashland, OR
